token	tag	lemma	macron	source
ἀγαθῆς	a-s---fg-	ἀγαθός	^1^3	wiktionary
ἀγαθοῖν	a-d---mg-	ἀγαθός	^1^3	wiktionary
ἀγαθοῖς	a-p---md-	ἀγαθός	^1^3	wiktionary
ἀγαθοῖς	a-p---nd-	ἀγαθός	^1^3	wiktionary
ἀγαθοῖσι	a-p---md-	ἀγαθός	^1^3^8	hypotactic
ἀγαθοῖσι	a-p---nd-	ἀγαθός	^1^3^8	hypotactic
ἀγαθόν	a-s---na-	ἀγαθός	^1^3	wiktionary
ἀγαθόν	a-s---ma-	ἀγαθός	^1^3	wiktionary
ἀγαθὸν	a-s---na-	ἀγαθός	^1^3	hypotactic,barytone
ἀγαθὸν	a-s---ma-	ἀγαθός	^1^3	hypotactic,barytone
ἀγαθός	a-s---mn-	ἀγαθός	^1^3	hypotactic
ἀγαθὸς	a-s---mn-	ἀγαθός	^1^3	lsj,barytone
ἀγαθοῦ	a-s---mg-	ἀγαθός	^1^3	wiktionary
ἀγαθούς	a-p---ma-	ἀγαθός	^1^3	wiktionary
ἀγαθῷ	a-s---md-	ἀγαθός	^1^3	wiktionary
ἀγαθῶν	a-p---mg-	ἀγαθός	^1^3	wiktionary
ἄμεινον	a-s---nac	ἀγαθός		
ἄμεινον	a-s---nnc	ἀγαθός		
ἀμείνονας	a-p---mac	ἀγαθός	^1^8	hypotactic,breve_ultima
ἀμείνους	a-p---mnc	ἀγαθός	^1	hypotactic
ἀμείνω	a-p---nac	ἀγαθός	^1	hypotactic
ἀμείνω	a-s---fac	ἀγαθός	^1	hypotactic
ἄριστα	a-p---nas	ἀγαθός	^1_3^6	hypotactic
ἄριστα	a-p---na-	ἀγαθός	^1_3^6	hypotactic
ἀρίστη	a-s---fns	ἀγαθός		
ἀρίστη	a-s---fn-	ἀγαθός		
ἄριστον	a-s---nns	ἀγαθός	_1_3	wiktionary
ἄριστον	a-s---mas	ἀγαθός	_1_3	wiktionary
ἀρίστους	a-p---mas	ἀγαθός	^1	hypotactic
τἀγαθόν	a-s---ma-	ἀγαθός		
τἀγαθὸν	a-s---ma-	ἀγαθός		barytone
ἁγαθοί	a-p---mn-	ἁγαθός		
ἁγαθοὶ	a-p---mn-	ἁγαθός		barytone
ἁγαθός	a-s---mn-	ἁγαθός		
ἀγαῖσι	a-p---fd-	ἀγαῖσι	^1^6	hypotactic
ἀγαῖσι	n-p---fd-	ἀγαῖσι	^1^6	hypotactic
ἀγακλειτόν	a-s---ma-	ἀγακλειτός	^3	wiktionary
ἀγακλειτὸν	a-s---ma-	ἀγακλειτός	^3	hypotactic,barytone
ἀγαλάκτοις	a-p---md-	ἀγαλάκτοις		
ἀγάλακτον	a-s---fa-	ἀγάλακτος		
ἀγάλληι	n-s---fd-	ἀγάλληι		
ἀγάλλει	v3spia---	ἀγάλλω	^1	hypotactic
ἀγαλλόμεναι	v-pppefn-	ἀγάλλω	^1	hypotactic
ἄγαλμ’	a-p---na-	ἄγαλμ	^1	hypotactic
ἄγαλμ’	d--------	ἄγαλμ	^1	hypotactic
ἄγαλμ’	u--------	ἄγαλμ’	^1	hypotactic
ἀγάλμασι	n-p---nd-	ἀγάλμα	^1^3^6^8	wiktionary
ἀγάλμασιν	n-p---nd-	ἀγάλμα	^1^3^6^8	wiktionary
ἀγάλματι	n-s---nd-	ἀγάλμα	^1^3^6^8	wiktionary
ἄγαλμα	n-s---nv-	ἄγαλμα	^1^3^6	wiktionary
ἄγαλμα	n-s---nn-	ἄγαλμα	^1^3^6	wiktionary
ἄγαλμα	n-s---na-	ἄγαλμα	^1^3^6	wiktionary
ἀγάλματα	n-p---na-	ἄγαλμα	^1^3^6^8	wiktionary
ἀγάλματος	n-s---ng-	ἄγαλμα	^1^3^6	wiktionary
ἀγαλμάτων	n-p---ng-	ἄγαλμα	^1^3^6	wiktionary
ἄγαλμα	n-s---na-	ἄγαλμά	^1^3^6	wiktionary
ἀγάλμαθ’	n-p---na-	ἀγάλμαθ		
ἀγάλμαθ’	n-p---nn-	ἀγάλμαθ		
ἀγάλματ’	n-p---nn-	ἀγάλματ		
ἀγάλματ’	n-p---na-	ἀγάλματ		
ἄγαμαι	v1spie---	ἄγαμαι	^1^3	hypotactic
ἀγαγών	v-sapamn-	ἀγαμγάνω	^1^3	wiktionary
ἀγάμεθ’	v2srma---	ἀγάμεθ		
ἀγάμεθ’	n-s---mv-	ἀγάμεθ		
Ἀγαμεμνονείας	a-s---fg-	Ἀγαμεμνονεῖος	_12	nominal
Ἀγαμεμνονίαις	a-p---fd-	Ἀγαμεμνονία	^1^3^10	manual
Ἀγαμεμνονίαν	n-s---fa-	Ἀγαμεμνονία	^1^3^10	manual
Ἀγαμεμνονίαν	n-s---ma-	Ἀγαμεμνονία	^1^3^10	manual
Ἀγαμεμνονίδας	n-s---fg-	Ἀγαμεμνονίδη	^1^3^10_12	nominal,manual
Ἀγαμεμνονίων	a-p---mg-	Ἀγαμεμνονῖος	^1^3	manual
Ἀγαμεμνόνιον	n-s---ma-	Ἀγαμεμνόνιος	^1^3^10	manual
Ἀγαμεμνόνιον	a-s---ma-	Ἀγαμεμνόνιος	^1^3^10	manual
Ἀγαμεμνόνιος	a-s---mn-	Ἀγαμεμνόνιος	^1^3^10	manual
Ἀγάμεμνον	n-s---ma-	ἀγαμέμνων	^1^3	hypotactic
Ἀγάμεμνον	n-s---mv-	ἀγαμέμνων	^1^3	hypotactic
Ἀγαμέμνονα	n-s---ma-	ἀγαμέμνων	^1^3^10	hypotactic
Ἀγαμέμνονι	n-s---md-	ἀγαμέμνων	^1^3^10	hypotactic
Ἀγαμέμνονος	n-s---mg-	ἀγαμέμνων	^1^3	hypotactic
Ἀγαμέμνων	n-s---mn-	ἀγαμέμνων	^1^3	wiktionary
Ἀγάμεμνον	n-s---mv-	Ἀγαμέμνων	^1^3	hypotactic
Ἀγαμέμνον’	n-s---ma-	Ἀγαμέμνων	^1^3	manual
ἀγαμέμνονα	n-s---ma-	Ἀγαμέμνων	^1^3^10	breve_ultima,manual
ἀγαμέμνονος	n-s---mg-	Ἀγαμέμνων	^1^3	manual
Ἀγαμέμνων	n-s---mn-	Ἀγαμέμνων	^1^3	wiktionary
ἄγαμον	a-s---na-	ἄγαμος	^3	wiktionary
ἄγαμον	a-s---ma-	ἄγαμος	^3	wiktionary
ἄγαμος	a-s---mn-	ἄγαμος	^3	wiktionary
ἄγαμος	a-s---fn-	ἄγαμος	^3	wiktionary
ἄγαμον	a-s---ma-	ἄγαμός	^3	wiktionary
ἀγάμους	a-p---fa-	ἀγάμους	^1^3	wiktionary
ἀγάμους	a-p---ma-	ἀγάμους	^1^3	wiktionary
ἀγάν’	d--------	ἀγάν		
ἄγαν	d--------	ἄγαν	^1_3	wiktionary
Ἄγαν	d--------	ἄγαν		
ἀγανῶς	d--------	ἀγανῶς	^3	wiktionary
ἄγαγες	v2saia---	ἄγαξ	^1^3	wiktionary
ἀγαπάζων	v-sppamn-	ἀγαπάζω		
ἠγάπα	v1saia---	ἀγαπάω	_5	wiktionary
