token	tag	lemma	macron	source
ἀντομένους	v-pppema-	ἀντομένους		
ἀντόμεσθα	v1ppie---	ἀντόμεσθα	^9	breve_ultima
ἄντρ’	n-p---na-	ἄντρ		
ἄντρα	n-p---na-	ἄντρα	^1^5	wiktionary
ἀντρέψῃ	v3sasa---	ἀντρέπτω		
ἄντρα	n-p---nn-	ἄντρον	^1^5	wiktionary
ἄντρα	n-p---na-	ἄντρον	^1^5	wiktionary
ἄντροις	n-p---nd-	ἄντρον	^1	wiktionary
ἄντροισιν	n-p---nd-	ἄντρον	^8	breve_ultima
ἄντρον	n-s---na-	ἄντρον	^1	wiktionary
ἄντρου	n-s---mg-	ἄντρος	^1	wiktionary
ἄντρου	n-s---ng-	ἄντρος	^1	wiktionary
ἄντρωι	n-s---nd-	ἄντρωι		
ἄντρων	n-p---mg-	ἄντρων	^1	wiktionary
ἄντυγα	n-p---na-	ἄντυγον	^1^4^6	wiktionary
ἄντυγα	n-s---fa-	ἄντυξ	^1^4^6	wiktionary
ἄντυγα	n-p---na-	ἄντυξ	^1^4^6	wiktionary
ἄντυγι	n-s---nd-	ἄντυξ	^1^4^6	wiktionary
ἄντυγι	n-s---md-	ἄντυξ	^1^4^6	wiktionary
ἄντυγος	n-s---fg-	ἄντυξ	^4	wiktionary
ἀντύγων	n-p---ng-	ἄντυξ	^1^4	wiktionary
ἀντύγων	n-p---fg-	ἄντυξ	^1^4	wiktionary
ἂντύχοις	v2spoa---	ἂντύχω		
ἄντομαι	v1spie---	ἄντω		
ἀντῴη	v3spsa---	ἀντῴη		
ἀντωποῖς	a-p---nd-	ἀντωπός		
ἄνυδρος	a-s---fn-	ἄνυδρος		
ἀνύδρου	a-s---fg-	ἄνυδρος		
ἀνύδρους	a-p---fa-	ἀνύδρους		
ἀνυμέναια	a-s---fn-	ἀνυμέναιος	^9	breve_ultima
ἀνυμέναια	a-p---na-	ἀνυμέναιος	^9	breve_ultima
ἀνυμέναιε	a-s---fv-	ἀνυμέναιος		
ἀνυμέναιον	a-s---na-	ἀνυμέναιος		
ἀνυμέναιος	a-s---mn-	ἀνυμέναιος	^3	wiktionary
ἀνύμνησας	v2saia---	ἀνύμνησας	^8	breve_ultima
ἀνύμφευτον	a-s---fa-	ἀνύμφευτος		
ἀνύμφευτος	a-s---fn-	ἀνύμφευτος		
ἄνυμφα	a-p---na-	ἄνυμφος	^6	breve_ultima
ἄνυμφα	a-p---nn-	ἄνυμφος	^6	breve_ultima
ἄνυμφον	a-s---ma-	ἄνυμφος	^1	hypotactic
ἄνυμφον	a-s---fa-	ἄνυμφος	^1	hypotactic
ἄνυμφος	a-s---mn-	ἄνυμφος	^1^3	wiktionary
ἀνύμφου	a-s---fg-	ἄνυμφος		
ἀνύσαι	v--ana---	ἀνύσαι	^3	wiktionary
ἀνύσαιμι	v1saoa---	ἀνύσαιμι	^3^8	wiktionary
ἀνύσειε	v3saoa---	ἀνύσει	^1^3	hypotactic
ἄνυσις	n-s---fn-	ἄνυσις	^1^3^5	hypotactic,breve_ultima
ἀνυστόν	a-s---ma-	ἀνυστὸς		
ἀνυστὸν	a-s---ma-	ἀνυστὸς		hypotactic,barytone
ἀνύσωμαι	v1sfim---	ἀνύσωμαι	^3	wiktionary
ἀνύτουσαν	v-sppafa-	ἀνύτομαι	^8	breve_ultima
ἀνύτουσιν	v3ppia---	ἀνύτω	^8	breve_ultima
ἀνύσαντες	v-papamn-	ἀνύω		
ἀνύσασα	v-sapafn-	ἀνύω	^3_5^7	wiktionary
ἀνύσει	v2sfim---	ἀνύω	^3	wiktionary
ἀνύσειε	v3saoa---	ἀνύω	^1^3	hypotactic
ἀνύσειν	v--fna---	ἀνύω	^3	wiktionary
ἤνυσα	v1saia---	ἀνύω	^3^5	hypotactic
ἤνυσαν	v3paia---	ἀνύω	^3^5	wiktionary
ἤνυσας	v2saia---	ἀνύω	^3^5	wiktionary
ἤνυσεν	v3saia---	ἀνύω		
ἠνύσω	v2saim---	ἀνύω	^3	wiktionary
ἤνυτον	v1siia---	ἀνύω		
ἄνω	u--------	ἄνω	^1	wiktionary
ἄνω	d--------	ἄνω	^1	wiktionary
Ἄνω	d--------	ἄνω		
ἀνωτέρω	d--------	ἄνω	^1	hypotactic
ἄνωγα	v1sria---	ἄνωγα	^1^5	hypotactic
ἄνωγας	v2sria---	ἄνωγα	^5	wiktionary
Ἄνωγας	v2sria---	ἄνωγα	^5	breve_ultima
ἄνωγεν	v3sria---	ἄνωγα		
Ἄνωγεν	v3sria---	ἄνωγα		
ἄνωχθι	v2srma---	ἄνωγα	^6	breve_ultima
ἄνωγας	v2sria---	ἄνωγας	^5	wiktionary
ἄνωγε	v3sria---	ἄνωγέ		
ἀνώδυνον	a-s---fa-	ἀνώδυνος	^5	wiktionary
ἄνωθεν	d--------	ἄνωθεν	^1	wiktionary
ἄνωθεν	r--------	ἄνωθεν	^1	wiktionary
Ἄνωθεν	d--------	ἄνωθεν		
ἀνωλόλυξας	v2saia---	ἀνωλόλυκω	^9	breve_ultima
ἀνωλόλυξα	v1saia---	ἀνωλόλυξα	^9	breve_ultima
ἀνώμοτος	a-s---fn-	ἀνώμοτος		
ἀνώμοτος	a-s---mn-	ἀνώμοτος		
ἀνωνόμαστα	v1sria---	ἀνωνόμαστον	^10	breve_ultima
ἀνωνύμοις	a-p---fd-	ἀνωνύμοις		
ἀνώνυμοι	a-p---mn-	ἀνώνυμος	^1^5	hypotactic
ἀνώνυμος	a-s---fn-	ἀνώνυμος	^5	wiktionary
ἀνώνυμος	a-s---mn-	ἀνώνυμος	^5	wiktionary
ἀνώρθωσας	v2saia---	ἀνώρθωσας	^8	breve_ultima
ἀνωτότυξας	v2saia---	ἀνωτότυκω	^9	breve_ultima
ἀνωφελεῖς	a-p---ma-	ἀνωφελής	^1	hypotactic
ἀνωφελεῖς	a-p---mn-	ἀνωφελής	^1	hypotactic
ἀνωφελῆ	a-s---fa-	ἀνωφελής		
ἀνωφελής	a-s---fn-	ἀνωφελής		
ἀνωφελὴς	a-s---fn-	ἀνωφελὴς		barytone
ἀνωφέλητ’	a-p---nn-	ἀνωφέλητ		
ἀνωφέλητα	a-p---na-	ἀνωφέλητος	^9	breve_ultima
ἀνωφελήτου	a-s---fg-	ἀνωφελήτου		
ἄνωχθ’	v2srma---	ἄνωχθ		
ἄνωχθε	v3sria---	ἄνωχθα	^1	hypotactic
ᾄξασα	v-sapafn-	ᾄξασα	_1^5	ifthimos,breve_ultima
ἄξενον	a-s---ma-	ἄξεενος	_1	hypotactic
ἄξεθ’	v2pfia---	ἄξεθ		
ἀξείνου	a-s---mg-	ἀξείνου		
ἄξενον	v-srpena-	ἄξενον	_1	hypotactic
ἄξενον	v-sapmma-	ἄξενον	_1	hypotactic
ἀξενώτερος	a-s---mnc	ἀξενός		
ἄξεινον	a-s---ma-	ἄξενος	_1	hypotactic
ἄξεινον	a-s---na-	ἄξενος	_1	hypotactic
ἄξενον	v-srpema-	ἄξενος	_1	hypotactic
ἀξένου	a-s---mg-	ἀξένου		
ἀξένους	a-p---fa-	ἀξένους		
ἀξενωτάταν	a-s---fas	ἀξενωτάταν		
ἄξενον	a-s---ma-	ἄξεσνος	_1	hypotactic
ἀξέστου	a-s---mg-	ἀξέστου		
ἄξετ’	v2pfia---	ἄξετ		
ἄξεται	v3sfim---	ἄξεταί	^1	wiktionary
ἄξῃ	u--------	ἄξῃ	^1	wiktionary
ᾄξας	n-p---fa-	ᾄξη	_1_3	ifthimos
ἁξήκουσεν	v3saia---	ἁξήκουσεν		
ἄξι’	a-p---nn-	ἄξι		
ἄξι’	n-p---na-	ἄξι		
ἄξι’	a-p---na-	ἄξι		
ἀξιουμένη	v-sppefn-	ἀξιέομαι	^1^3	wiktionary
ἀξιούμενον	v-sppema-	ἀξιέομαι	^1^3	wiktionary
ἄξι’	a-p---nn-	ἄξιν		
ἄξι’	d--------	ἄξιν		
ἀξίνας	n-p---fa-	ἀξίνη	_3_5	wiktionary
ἀξιόθρηνος	a-s---mn-	ἀξιόθρη		
ἀξιόμισον	v2sama---	ἀξιόμιζω		
ἄξιον	a-s---nn-	ἄξιον	^1^3	wiktionary
ἀξιοπενθεῖς	v-sappmn-	ἀξιοπενθής		
Ἀξιοῦ	n-s---mg-	ἀξιός	_1^3	hypotactic
Ἀξιόν	a-s---ma-	Ἀξιὸς		
Ἀξιὸν	a-s---ma-	Ἀξιὸς		barytone
ἀξίω	v1spia---	ἀξίος	^1^3	wiktionary
ἀξία	a-p---na-	ἄξιος	^1^3_4	wiktionary
ἀξία	a-s---fn-	ἄξιος	^1^3_4	wiktionary
ἀξία	a-p---nn-	ἄξιος	^1^3_4	wiktionary
ἄξια	a-p---nn-	ἄξιος	^1^3^4	wiktionary
ἄξια	a-s---fn-	ἄξιος	^1^3^4	wiktionary
ἄξια	a-p---na-	ἄξιος	^1^3^4	wiktionary
ἄξιαι	a-p---fn-	ἄξιος	^1^3	wiktionary
ἀξίαν	a-s---fa-	ἄξιος	^1^3_4	wiktionary
ἀξίας	a-s---fg-	ἄξιος	_4	wiktionary
ἄξιοι	a-p---mn-	ἄξιος	^1^3	wiktionary
ἄξιοι	v3spia---	ἄξιος	^1^3	wiktionary
ἀξίοις	a-p---md-	ἄξιος	^1^3	wiktionary
ἀξίοις	a-p---nd-	ἄξιος	^1^3	wiktionary
ἄξιον	a-s---na-	ἄξιος	^1^3	wiktionary
ἄξιον	a-s---ma-	ἄξιος	^1^3	wiktionary
ἄξιον	a-s---nn-	ἄξιος	^1^3	wiktionary
ἄξιος	a-s---mn-	ἄξιος	^1^3	wiktionary
ἀξίων	a-p---mg-	ἄξιος	^1^3	wiktionary
ἀξίων	v-sppamn-	ἄξιος	^1^3	wiktionary
ἀξιοῦμαι	v1spie---	ἀξιοῦμι	^1^3	wiktionary
ἀξιοῦσθαι	v--pne---	ἀξιοῦμι	^1^3	wiktionary
ἀξιόχρεως	a-s---mn-	ἀξιόχρεως	^3	wiktionary
ἀξιοῖ	v3spoa---	ἀξιόω	^1^3	wiktionary
ἀξιοῖ	v3spia---	ἀξιόω	^1^3	wiktionary
ἀξιοῖς	a-p---nd-	ἀξιόω	^1^3	wiktionary
ἀξιοῖς	v2spia---	ἀξιόω	^1^3	wiktionary
ἀξιῶ	v1spia---	ἀξιόω	^1^3	wiktionary
ἀξιωθείς	v-sappmn-	ἀξιόω	^1^3	wiktionary
ἀξιωθεὶς	v-sappmn-	ἀξιόω	^1^3	barytone
ἀξιωθήτω	v3samp---	ἀξιόω	^1^3	wiktionary
ἀξιῶν	a-p---mg-	ἀξιόω	^1^3	wiktionary
ἀξιῶσαι	v--ana---	ἀξιόω	^1^3	wiktionary
ἀξιώσας	v-sapamn-	ἀξιόω	^1^3_6	wiktionary
ἀξιώσειν	v--fna---	ἀξιόω	^1^3	wiktionary
ἠξίου	v3siia---	ἀξιόω	^3	wiktionary
ἠξίουν	v1siia---	ἀξιόω	^3	wiktionary
ἠξίουν	v3piia---	ἀξιόω	^3	wiktionary
ἠξιωμένα	v-prpenn-	ἀξιόω		
ἠξίωσα	v1saia---	ἀξιόω	^3^6	wiktionary
ἠξίωσαν	v3paia---	ἀξιόω	^3^6	wiktionary
ἀξίωμ’	d--------	ἀξίωμ		
ἀξίωμ’	n-s---na-	ἀξίωμ		
ἀξίωμ’	n-p---na-	ἀξίωμ		
ἀξίωμα	n-s---na-	ἀξίωμα	^3^6	wiktionary
ἀξίωμα	n-s---nn-	ἀξίωμα	^3^6	wiktionary
ἀξίωμα	v1spia---	ἀξίων	^3^6	wiktionary
ἀξιώτατα	a-p---nas	ἀξιώς	^8	breve_ultima
ἀξιώτατος	a-s---mns	ἀξιώς	^1^3^6	wiktionary
ἀξιώτερος	a-s---mnc	ἀξιώς	^1^3	wiktionary
ἀξίως	d--------	ἀξίως	^1^3	wiktionary
ἀξιώσατ’	v2pama---	ἀξιώσατ		
ἀξιώσῃς	v2sasa---	ἀξιώσῃς	^1^3	wiktionary
ἀξιῶτον	a-s---na-	ἀξιῶτος	^1^3	wiktionary
ἀξιώσω	v1sfia---	ἀξιώω	^1^3	wiktionary
ἄξομαι	v1sfim---	ἄξομαι	^1	wiktionary
ἄξονες	n-p---mn-	ἄξονές	_1	hypotactic
ἀξονήλατοι	a-p---fn-	ἀξονήλατοι		
ἀξόνων	n-p---mg-	ἀξόνος	_1	hypotactic
ἄξονος	n-s---mg-	ἄξονος	_1	hypotactic
ἄξοντα	v-sapama-	ἄξοντα	_1^6	hypotactic
ἄξοντες	v-papamn-	ἄξοντες		
ἀξόνων	n-p---mg-	ἀξόνων	_1	hypotactic
ἀξυνήμων	a-s---fn-	ἀξυνήμων		
ἀξύνετον	a-s---fa-	ἀξύνω		
ἀξύστατον	a-s---mas	ἀξύσς		
ἄξας	v-sapamn-	ἄξω	^1_3	wiktionary
ἄξοσιν	n-p---md-	ἄξων	^5	wiktionary
ἄξων	v-sfpamn-	ἄξων	^1	wiktionary
ἆὀδύνη	u--------	ἆὀδύνη	_1	ifthimos
ἀόζοις	a-p---md-	ἀόζοις		
ἀοιδός	n-s---mn-	ἀοι	^1	wiktionary
ἀοιδὸς	n-s---mn-	ἀοι	^1	barytone
ἀοιδά	v3spia---	ἀοιδά	^1_5	wiktionary
ἀοιδά	n-s---fn-	ἀοιδά	^1_5	wiktionary
ἀοιδῶν	n-p---fg-	ἀοιδά	^1	wiktionary
ἀοιδὰ	n-s---fn-	ἀοιδὰ	^1_5	hypotactic,barytone
ἀοιδαί	n-p---fn-	ἀοιδαί	^1	wiktionary
ἀοιδαὶ	n-p---fn-	ἀοιδαὶ	^1	barytone
ἀοιδάν	n-p---mg-	ἀοιδάν		
ἀοιδὰν	n-p---mg-	ἀοιδὰν		hypotactic,barytone
ἀοιδάς	n-p---fa-	ἀοιδάς	^1_5	wiktionary
ἀοιδαί	n-p---fn-	ἀοιδή	^1	wiktionary
ἀοιδαῖς	n-p---fd-	ἀοιδή	^1	wiktionary
ἀοιδάν	n-p---fg-	ἀοιδή		
ἀοιδὰν	n-p---fg-	ἀοιδή		hypotactic,barytone
ἀοιδάς	n-p---fa-	ἀοιδή	^1_5	wiktionary
ἀοιδὰς	n-p---fa-	ἀοιδή	^1_5	ifthimos,barytone
ἀοιδῶν	n-p---fg-	ἀοιδή	^1	wiktionary
ᾠδάς	n-p---fa-	ἀοιδή	_3	wiktionary
ᾠδὰς	n-p---fa-	ἀοιδή	_3	ifthimos,barytone
ἀοίδιμον	a-s---fa-	ἀοίδιμος	^1^5	hypotactic
ἀοιδοῖς	n-p---md-	ἀοιδός	^1	hypotactic
ἀοιδός	n-s---mn-	ἀοιδός	^1	wiktionary
ἀοιδός	n-s---fg-	ἀοιδός	^1	wiktionary
ἀοιδοῦ	n-s---fg-	ἀοιδός	^1	hypotactic
ἀοιδούς	n-p---fa-	ἀοιδός		
ἀοιδοὺς	n-p---fa-	ἀοιδός		hypotactic,barytone
ἀοιδὸς	n-s---fg-	ἀοιδὸς	^1	barytone
ἀοιδοτάταν	a-s---fas	ἀοιδοτάταν		
ἀοιδῶν	n-p---fg-	ἀοιδῶν	^1	wiktionary
ἄοικον	a-s---fa-	ἄοικος		
ἀοίκους	a-p---fa-	ἄοικος		
αοἴμοι	a-p---mv-	αοἴμος		
ἀοίνοις	n-p---md-	ἀοίνον		
ἀοίνους	n-p---ma-	ἀοίνος		
ἀοίνοις	a-p---md-	ἄοινος		
ἄοκνον	a-s---ma-	ἄοκνος	^1	wiktionary
ἄοκνος	a-s---fn-	ἄοκνος	^1	wiktionary
ἀολλεῖς	a-p---mn-	ἀολλής	^1	hypotactic
ἄορι	n-s---nd-	ἄορ	^1^4	wiktionary
ἀσμένῳ	v-sppemd-	ἀόσ		
ἀοῦς	n-s---ng-	ἀοῦς	_1	hypotactic
ἀπ’	r--------	ἀπ		
ἅπτε	v2ppma---	ἅπ	^1	wiktionary
ἀπαθεῖς	v2sfia---	ἀπα		
ἀπάταις	a-p---fd-	ἀπά	^1^3	wiktionary
ἀπήντησεν	v3saia---	ἀπά-ἀντάω		
ἄπαγ’	a-s---ma-	ἄπαγ		
ἀπαγγείληι	v3saoa---	ἀπαγγείληι		
ἀπαγγελεῖς	v2spia---	ἀπαγγελέω	^1^3	wiktionary
ἀπαγγέλληι	v3saoa---	ἀπαγγέλληι		
ἀπαγγεῖλαι	v--ana---	ἀπαγγέλλω	^1^3	wiktionary
ἀπάγγειλον	v2sama---	ἀπαγγέλλω	^1^3	wiktionary
ἀπαγγελεῖ	v3sfia---	ἀπαγγέλλω	^1^3	wiktionary
ἀπαγγέλλειν	v--pna---	ἀπαγγέλλω	^1^3	wiktionary
ἀπαγγέλλουσι	v3ppia---	ἀπαγγέλλω	^1^3^12	wiktionary
ἀπαγγέλλω	v1sfia---	ἀπαγγέλλω	^1	wiktionary
ἀπαγγελῶ	v1sfia---	ἀπαγγέλλω	^1^3	wiktionary
ἀπηγγέλθη	v3saip---	ἀπαγγέλλω	^1	wiktionary
ἀπάγετ’	v2ppma---	ἀπάγετ		
Ἀπάγετ’	v2ppma---	Ἀπάγετ		
ἀπάγετε	r--------	ἀπάγετέ	^1^3	wiktionary
ἀπάγξασθαι	v--anm---	ἀπάγχω		
ἀπαγάγοι	v3saoa---	ἀπάγω	^1^3^5	wiktionary
ἄπαγε	v2spma---	ἀπάγω	^1^3	wiktionary
Ἄπαγέ	v2spma---	ἀπάγω		
ἀπάγει	v3spia---	ἀπάγω	^1^3	wiktionary
ἀπάξει	v3sfia---	ἀπάγω	^1^3	wiktionary
ἀπάξειν	v--ana---	ἀπάγω	^1^3	wiktionary
ἀπάξω	v1spia---	ἀπάγω	^1^3	wiktionary
ἅπαθες	v2sama---	ἅπαθες		
ἅπαθον	a-s---na-	ἅπαθος		
ἄπαιδ’	d--------	ἄπαιδ		
ἄπαιδ’	u--------	ἄπαιδ’		
ἄπαιδα	v1sria---	ἄπαιδα	^6	breve_ultima
ἄπαιδα	n-s---ma-	ἄπαιδα	^6	breve_ultima
ἄπαιδε	a-s---mg-	ἄπαιδε		
ἄπαιδες	a-p---fn-	ἄπαιδές		
ἄπαιδες	n-p---fn-	ἄπαιδές		
ἀπαιδεύτως	d--------	ἀπαιδεύτως		
ἀπαιδία	n-s---fn-	ἀπαιδία		
ἀπαιδίαι	n-p---fn-	ἀπαιδία		
ἀπαιδίαν	n-s---fa-	ἀπαιδία		
ἀπαιδίας	n-s---fg-	ἀπαιδία	_3_7	ifthimos,nominal
ἀπαιδίαν	n-s---fa-	ἀπαιδίαν		
ἀπήνας	v-sapamn-	ἀπαίνω	_5	wiktionary
ἀπαιολᾶι	v3spia---	ἀπαιολᾶι	_3	ifthimos
ἀπαιόλημα	n-s---na-	ἀπαιόλημα	^9	breve_ultima
ἄπαιρε	v2spma---	ἄπαιρμι		
ἀπαίρεις	v2spia---	ἀπαίρω		
ἀπάρας	v-sapamn-	ἀπαίρω	_5	ifthimos
ἀπήραμεν	v1paia---	ἀπαίρω		
ἀπῆρε	v3saia---	ἀπαίρω		
ἀπαίρωσ’	v3pasa---	ἀπαίρωσ		
ἄπαιδα	a-s---ma-	ἄπαις	^6	breve_ultima
ἄπαιδα	n-s---fa-	ἄπαις	^6	breve_ultima
ἄπαιδας	n-p---fa-	ἄπαις	^6	breve_ultima
ἄπαιδες	n-p---fn-	ἄπαις		
ἄπαιδες	n-p---fv-	ἄπαις		
ἄπαιδες	a-p---fn-	ἄπαις		
ἄπαις	a-p---fn-	ἄπαις		
ἄπαις	a-p---mn-	ἄπαις		
ἄπαις	n-s---fn-	ἄπαις		
ἄπαις	v2spia---	ἄπαις		
ἄπαις	n-s---mn-	ἄπαις		
ἄπαις	a-s---mn-	ἄπαις		
ἄπαις	a-s---fn-	ἄπαις		
ἀπαιςἐγώ	u--------	ἀπαιςἐγώ		
ἄπαιςἐγω	u--------	ἄπαιςἐγὼ		
ἀπῇξαν	v3paia---	ἀπαίσσω	^5	breve_ultima
ἀπαιτήσων	v-sfpamn-	ἀπαιτάω	^1	wiktionary
ἀπαίτει	u--------	ἀπαίτει	^1	wiktionary
ἀπαιτεῖ	v3spia---	ἀπαιτέω	^1	wiktionary
ἀπαιτοῦσιν	v3ppia---	ἀπαιτέω	^9	breve_ultima
ἀπαιτῶ	v1spia---	ἀπαιτέω	^1	wiktionary
ἀπαιτήσει	v3sfia---	ἀπαιτήσει	^1	wiktionary
ἀπαιτούσης	v-sppafg-	ἀπαιτούσης		
ἀπαιτῶ	v1spia---	ἀπαιτῶ	^1	wiktionary
ἀπαλέξαι	v2sasm---	ἀπαλέγω	^3	wiktionary
ἀπαλέξασθαι	v--anm---	ἀπαλέγω	^3	wiktionary
ἀπαλλαγεῖσα	v-sappfn-	ἀπαλλαγεῖσα	^11	breve_ultima
ἀπαλλαγέντος	v-srpamg-	ἀπαλλαγέντος		
ἀπαλλαγαί	n-p---fn-	ἀπαλλαγή	^6	wiktionary
ἀπαλλαγαὶ	n-p---fn-	ἀπαλλαγή	^6	barytone
ἀπαλλαγάς	n-p---fa-	ἀπαλλαγή	^6_8	wiktionary
ἀπαλλαγὰς	n-p---fa-	ἀπαλλαγή	^6_8	ifthimos,barytone
ἀπαλλαγή	u--------	ἀπαλλαγή	^6	wiktionary
ἀπαλλαγή	n-s---fn-	ἀπαλλαγή	^6	wiktionary
ἀπαλλαγή	n-s---fd-	ἀπαλλαγή	^6	wiktionary
ἀπαλλαγὴ	n-s---fd-	ἀπαλλαγή	^6	barytone
ἀπαλλαγὴ	n-s---fn-	ἀπαλλαγή	^6	barytone
ἀπαλλαγήν	n-s---fa-	ἀπαλλαγή	^6	wiktionary
ἀπαλλαγὴν	n-s---fa-	ἀπαλλαγή	^6	barytone
ἀπαλλαγῶ	v1spia---	ἀπαλλαγῶ		
ἀπαλλάξω	v1sfia---	ἀπαλλάγω	^3^6	wiktionary
ἀπάλλαξον	v2sama---	ἀπάλλαγω	^3^6	wiktionary
ἀπαλλάξειν	v--fna---	ἀπαλλάξειν	^3^6	wiktionary
ἀπαλλάξηι	v3saoa---	ἀπαλλάξηι		
ἀπαλλάξηι	v2sasm---	ἀπαλλάξηι		
ἀπαλλάξαιμεν	v1paoa---	ἀπαλλάξω	^3^6	wiktionary
ἀπαλλαξωβιοτάν	a-s---fa-	ἀπαλλαξωβιοτάν		
ἀπαλλάξωβιοταν	a-s---fa-	ἀπαλλάξωβιοτὰν		
ἀπαλλαχθέντος	v-sappmg-	ἀπαλλαόχ		
ἀπαλλάςσουσα	n-s---fg-	ἀπαλλάς	^12	breve_ultima
ἀπαλλάσσηι	v2spie---	ἀπαλλάσσηι		
ἀπαλλασσουδέ	v2spme---	ἀπαλλασσουδέ		
ἀπαλλάσσουδε	v2spme---	ἀπαλλάσσουδὲ		
ἀπαλλάξαι	v--ana---	ἀπαλλάσσω	^3^6	wiktionary
ἀπαλλάξας	v-sapamn-	ἀπαλλάσσω	^3^6_8	wiktionary
ἀπαλλάξει	v2sfim---	ἀπαλλάσσω	^3^6	wiktionary
ἀπαλλάξει	v3sfia---	ἀπαλλάσσω	^3^6	wiktionary
ἀπαλλάξειαν	v3paoa---	ἀπαλλάσσω	^3^6^10	wiktionary
ἀπαλλάξῃ	v3sasa---	ἀπαλλάσσω	^3^6	wiktionary
ἀπαλλάσσει	v3spia---	ἀπαλλάσσω	^3^6	wiktionary
ἀπαλλάσσεσθε	v2ppme---	ἀπαλλάσσω	^3^6	wiktionary
ἀπαλλάσσου	v2spme---	ἀπαλλάσσω	^3^6	wiktionary
ἀπαλλάσσουσα	v-sppafn-	ἀπαλλάσσω	^3^6^12	wiktionary
ἀπαλλάσσουσιν	v3ppia---	ἀπαλλάσσω	^12	breve_ultima
ἀπαλλάσσων	v-sppamn-	ἀπαλλάσσω	^3^6	wiktionary
ἀπαλλαχθείς	v-sappmn-	ἀπαλλάσσω		
ἀπαλλαχθεὶς	v-sappmn-	ἀπαλλάσσω		barytone
ἀπαλλαχθῇ	v3saip---	ἀπαλλάσσω		
ἀπηλλάχθαι	v--rne---	ἀπαλλάσσω	^6	wiktionary
ἀπαλλάσσω	v1spia---	ἀπαλλάσω	^3^6	wiktionary
ἀπαλλαχθεῖσα	v-sappfn-	ἀπαλλαχθεῖσα	^12	breve_ultima
ἀπαλλαχθέντε	v-dappmn-	ἀπαλλαχθέντε		
ἀπαλλαχθέντε	v-pappmn-	ἀπαλλαχθέντε		
ἀπαλλαχθέντες	v-pappmn-	ἀπαλλαχθέντες		
ἀπαλλαχθῆι	v3sasp---	ἀπαλλαχθῆι		
ἀπαλλαχθῆις	v2sasp---	ἀπαλλαχθῆις		
ἀπαλλαχθήσομαι	v1sfip---	ἀπαλλαχίθω	^3^6	wiktionary
ἀπάλλαξον	v2sama---	ἀπάλλαχομον	^3^6	wiktionary
ἀπαλλάξασα	v-sapafn-	ἀπαλλάχω	^3^6_8^10	wiktionary
ἁπαλαῖς	a-p---fd-	ἁπαλός	^3	wiktionary
ἁπαλάν	a-s---fa-	ἁπαλός		
ἁπαλὰν	a-s---fa-	ἁπαλός		hypotactic,barytone
ἁπαλόν	a-s---na-	ἁπαλός	^1^3	hypotactic
ἁπαλὸν	a-s---na-	ἁπαλός	^1^3	hypotactic,barytone
ἁπαλότριχα	a-s---ma-	ἁπαλότριχα	^10	breve_ultima
ἁπαλόχροα	a-s---fa-	ἁπαλόχρο	^9	breve_ultima
ἀπαντᾶι	v2spie---	ἀπαμᾶι	_6	ifthimos
ἀπαμβλυνεῖς	v2spia---	ἀπαμβλυνεῖς	^1_7	hypotactic
ἀπαμβλυνθήσεται	v3sfim---	ἀπαμβλύνω	^1	hypotactic
ἀπάμησον	v2sama---	ἀπάμησον		
ἁπάντων	a-p---mg-	ἁπάν	^1^3	wiktionary
ἅπαν	a-s---nn-	ἅπαν	^3	wiktionary
ἀπανηναμένας	v--ppefa-	ἀπανηναμένας		
ἅπανθ’	a-s---ma-	ἅπανθ		
ἅπανθ’	d--------	ἅπανθ		
ἀπανθίσαι	v--ana---	ἀπανθίζω		
ἀπανθρώπῳ	a-s---md-	ἀπανθρώπῳ	^1	hypotactic
Ἅπανθ’	d--------	Ἅπανθτε		
ἅπαντ’	a-s---ma-	ἅπαντ		
ἅπαντ’	a-p---na-	ἅπαντ		
ἅπαντ’	a-p---nn-	ἅπαντ		
ἅπαντα	u--------	ἅπαντα	^1^3^6	wiktionary
ἅπαντα	a-s---ma-	ἅπαντά	^1^3^6	wiktionary
ἁπάνται	a-p---mn-	ἁπάντας		
ἅπαντας	a-p---ma-	ἅπαντας	^1^3^6	wiktionary
ἁπανταχοῦ	d--------	ἁπανταχοῦ	^6	wiktionary
ἀπαντᾶν	a-s---ma-	ἀπαντάω	_6	ifthimos
ἀπαντᾶν	v--pna---	ἀπαντάω	_6	ifthimos
ἀπάντημ’	n-s---na-	ἀπάντημ		
ἀπαντήσας	v-sapamn-	ἀπαντήω	_8	ifthimos
ἀπαντλοίην	v1spoa---	ἀπαντλέω		
ἀπαντλῆσαι	v--ana---	ἀπαντλῆθω	^1	hypotactic
ἀπαντλοῖεν	v3ppoa---	ἀπαντλοῖεν		
ἅπαντα	a-p---na-	ἅπαντος	^1^3^6	wiktionary
ἀπαντῶν	a-p---mg-	ἀπαντῶν		
ἁπάντων	a-p---mg-	ἁπάντων	^1^3	wiktionary
ἅπαξ	d--------	ἅπαξ	^1^3	wiktionary
ἅπαξ	u--------	ἅπαξ	^1^3	wiktionary
Ἅπαξ	d--------	ἅπαξ		
ἀπᾴξας	v-sapamn-	ἀπᾴξας	_3_5	ifthimos
ἀπάξει	v3sfia---	ἀπάξει	^1^3	wiktionary
ἀπάξεις	v2sfia---	ἀπάξεις	^1^3	wiktionary
